Column Name,Data Type,Non-Null Count,Unique Values,Sample Values,Description
Date,int64,9459,9459,"[19930907, 19930908, 19930909]",Description not provided. Please update as needed.
0111145D US Equity,float64,6954,3478,"[13.2719, 13.3263, 13.707]",Description not provided. Please update as needed.
0202445Q US Equity,float64,6222,3188,"[13.6829, 13.5315, 13.38]",Description not provided. Please update as needed.
0203524D US Equity,float64,6954,2803,"[8.4429, 8.2147, 8.7852]",Description not provided. Please update as needed.
0226226D US Equity,float64,5856,3283,"[8.1042, 7.959, 8.0627]",Description not provided. Please update as needed.
0376152D US Equity,float64,5124,1371,"[11.0, 11.125, 10.875]",Description not provided. Please update as needed.
0440296D US Equity,float64,1098,463,"[57.3245, 57.2096, 59.1625]",Description not provided. Please update as needed.
0544749D US Equity,float64,4758,2553,"[17.8887, 17.8064, 17.6831]",Description not provided. Please update as needed.
0574018D US Equity,float64,5490,2128,"[6.8315, 6.8773, 6.9232]",Description not provided. Please update as needed.
0598884D US Equity,float64,2196,664,"[28.1246, 27.5051, 27.7529]",Description not provided. Please update as needed.
0772031D US Equity,float64,5203,1975,"[4.3483, 5.5342, 5.8307]",Description not provided. Please update as needed.
0820143D US Equity,float64,2562,892,"[17.0742, 16.8567, 16.6392]",Description not provided. Please update as needed.
0848680D US Equity,float64,7320,3374,"[9.2351, 9.0167, 9.0791]",Description not provided. Please update as needed.
0867887D US Equity,float64,644,264,"[25.05, 25.6, 27.74]",Description not provided. Please update as needed.
0872237D US Equity,float64,2928,660,"[9.375, 9.3125, 9.5625]",Description not provided. Please update as needed.
0910150D US Equity,float64,5490,2624,"[6.5386, 6.4838, 6.5204]",Description not provided. Please update as needed.
0943554D US Equity,float64,2196,640,"[19.7835, 19.3439, 19.234]",Description not provided. Please update as needed.
0948669D US Equity,float64,7320,3638,"[19.2446, 19.0881, 18.9708]",Description not provided. Please update as needed.
0961514D US Equity,float64,6954,3586,"[12.1854, 12.2305, 12.3208]",Description not provided. Please update as needed.
0964591D US Equity,float64,5490,2104,"[3.9397, 3.8872, 3.7296]",Description not provided. Please update as needed.
1005945D US Equity,float64,1830,317,"[18.7014, 18.8866, 18.9791]",Description not provided. Please update as needed.
1013207D US Equity,float64,2928,217,"[5.401, 5.1959, 5.4694]",Description not provided. Please update as needed.
1028411Q US Equity,float64,4758,2391,"[11.0861, 11.0601, 10.982]",Description not provided. Please update as needed.
1040983D US Equity,float64,4669,1674,"[21.8164, 19.8331, 20.3671]",Description not provided. Please update as needed.
1051665D US Equity,float64,3294,1310,"[18.9338, 18.74, 18.5461]",Description not provided. Please update as needed.
1073675D US Equity,float64,6954,1385,"[12.0927, 11.6041, 11.7262]",Description not provided. Please update as needed.
1086832D US Equity,float64,7320,3844,"[6.6766, 6.5255, 6.7672]",Description not provided. Please update as needed.
1166Q US Equity,float64,366,19,"[24.375, 24.25, 23.875]",Description not provided. Please update as needed.
